value,variable
0.003,enhanced
0.003,enhanced
0.003,enhanced
0.003,enhanced
0.003,enhanced
0.003,enhanced
0.003,enhanced
0.003,enhanced
0.003,enhanced
0.003,enhanced
0.006,enhanced
0.006,enhanced
0.006,enhanced
0.006,enhanced
0.006,enhanced
0.006,enhanced
0.006,enhanced
0.006,enhanced
0.006,enhanced
0.006,enhanced
0.006,enhanced
0.009,enhanced
0.009,enhanced
0.009,enhanced
0.009,enhanced
0.009,enhanced
0.009,enhanced
0.009,enhanced
0.009,enhanced
0.009,enhanced
0.012,enhanced
0.012,enhanced
0.012,enhanced
0.012,enhanced
0.012,enhanced
0.012,enhanced
0.012,enhanced
0.012,enhanced
0.012,enhanced
0.015,enhanced
0.015,enhanced
0.015,enhanced
0.015,enhanced
0.018,enhanced
0.018,enhanced
0.018,enhanced
0.018,enhanced
0.018,enhanced
0.019,enhanced
0.021,enhanced
0.021,enhanced
0.021,enhanced
0.021,enhanced
0.021,enhanced
0.021,enhanced
0.024,enhanced
0.024,enhanced
0.024,enhanced
0.024,enhanced
0.024,enhanced
0.024,enhanced
0.024,enhanced
0.027,enhanced
0.027,enhanced
0.03,enhanced
0.03,enhanced
0.03,enhanced
0.03,enhanced
0.03,enhanced
0.033,enhanced
0.033,enhanced
0.033,enhanced
0.033,enhanced
0.033,enhanced
0.033,enhanced
0.033,enhanced
0.036,enhanced
0.036,enhanced
0.036,enhanced
0.036,enhanced
0.036,enhanced
0.036,enhanced
0.036,enhanced
0.036,enhanced
0.036,enhanced
0.036,enhanced
0.036,enhanced
0.036,enhanced
0.039,enhanced
0.039,enhanced
0.039,enhanced
0.039,enhanced
0.039,enhanced
0.039,enhanced
0.039,enhanced
0.039,enhanced
0.039,enhanced
0.039,enhanced
0.039,enhanced
0.039,enhanced
0.042,enhanced
0.042,enhanced
0.042,enhanced
0.042,enhanced
0.042,enhanced
0.042,enhanced
0.042,enhanced
0.042,enhanced
0.042,enhanced
0.042,enhanced
0.042,enhanced
0.045,enhanced
0.045,enhanced
0.045,enhanced
0.045,enhanced
0.045,enhanced
0.045,enhanced
0.045,enhanced
0.048,enhanced
0.048,enhanced
0.048,enhanced
0.048,enhanced
0.048,enhanced
0.048,enhanced
0.048,enhanced
0.048,enhanced
0.048,enhanced
0.048,enhanced
0.051,enhanced
0.051,enhanced
0.051,enhanced
0.051,enhanced
0.051,enhanced
0.051,enhanced
0.051,enhanced
0.051,enhanced
0.051,enhanced
0.051,enhanced
0.051,enhanced
0.054,enhanced
0.054,enhanced
0.054,enhanced
0.054,enhanced
0.054,enhanced
0.054,enhanced
0.054,enhanced
0.057,enhanced
0.057,enhanced
0.057,enhanced
0.057,enhanced
0.06,enhanced
0.06,enhanced
0.06,enhanced
0.06,enhanced
0.06,enhanced
0.063,enhanced
0.063,enhanced
0.063,enhanced
0.063,enhanced
0.063,enhanced
0.066,enhanced
0.066,enhanced
0.066,enhanced
0.069,enhanced
0.069,enhanced
0.069,enhanced
0.069,enhanced
0.069,enhanced
0.072,enhanced
0.072,enhanced
0.072,enhanced
0.072,enhanced
0.072,enhanced
0.072,enhanced
0.074,enhanced
0.075,enhanced
0.075,enhanced
0.078,enhanced
0.078,enhanced
0.078,enhanced
0.078,enhanced
0.081,enhanced
0.081,enhanced
0.081,enhanced
0.081,enhanced
0.081,enhanced
0.081,enhanced
0.084,enhanced
0.087,enhanced
0.087,enhanced
0.087,enhanced
0.087,enhanced
0.09,enhanced
0.09,enhanced
0.093,enhanced
0.096,enhanced
0.096,enhanced
0.096,enhanced
0.099,enhanced
0.099,enhanced
0.099,enhanced
0.102,enhanced
0.102,enhanced
0.102,enhanced
0.105,enhanced
0.105,enhanced
0.108,enhanced
0.108,enhanced
0.108,enhanced
0.108,enhanced
0.108,enhanced
0.11,enhanced
0.111,enhanced
0.111,enhanced
0.111,enhanced
0.111,enhanced
0.111,enhanced
0.111,enhanced
0.114,enhanced
0.114,enhanced
0.114,enhanced
0.117,enhanced
0.117,enhanced
0.117,enhanced
0.117,enhanced
0.12,enhanced
0.12,enhanced
0.123,enhanced
0.123,enhanced
0.123,enhanced
0.123,enhanced
0.123,enhanced
0.123,enhanced
0.126,enhanced
0.126,enhanced
0.126,enhanced
0.126,enhanced
0.129,enhanced
0.129,enhanced
0.129,enhanced
0.132,enhanced
0.132,enhanced
0.132,enhanced
0.132,enhanced
0.135,enhanced
0.135,enhanced
0.135,enhanced
0.138,enhanced
0.138,enhanced
0.141,enhanced
0.144,enhanced
0.144,enhanced
0.147,enhanced
0.147,enhanced
0.147,enhanced
0.147,enhanced
0.153,enhanced
0.156,enhanced
0.156,enhanced
0.156,enhanced
0.156,enhanced
0.157,enhanced
0.159,enhanced
0.159,enhanced
0.16,enhanced
0.16,enhanced
0.165,enhanced
0.166,enhanced
0.168,enhanced
0.171,enhanced
0.171,enhanced
0.171,enhanced
0.171,enhanced
0.173,enhanced
0.173,enhanced
0.174,enhanced
0.174,enhanced
0.176,enhanced
0.177,enhanced
0.179,enhanced
0.18,enhanced
0.183,enhanced
0.185,enhanced
0.186,enhanced
0.187,enhanced
0.189,enhanced
0.198,enhanced
0.198,enhanced
0.201,enhanced
0.201,enhanced
0.201,enhanced
0.201,enhanced
0.202,enhanced
0.202,enhanced
0.204,enhanced
0.206,enhanced
0.207,enhanced
0.207,enhanced
0.21,enhanced
0.211,enhanced
0.211,enhanced
0.213,enhanced
0.216,enhanced
0.217,enhanced
0.223,enhanced
0.224,enhanced
0.225,enhanced
0.228,enhanced
0.23,enhanced
0.23,enhanced
0.231,enhanced
0.231,enhanced
0.233,enhanced
0.234,enhanced
0.234,enhanced
0.234,enhanced
0.237,enhanced
0.239,enhanced
0.24,enhanced
0.24,enhanced
0.243,enhanced
0.243,enhanced
0.249,enhanced
0.249,enhanced
0.252,enhanced
0.252,enhanced
0.254,enhanced
0.255,enhanced
0.261,enhanced
0.265,enhanced
0.265,enhanced
0.267,enhanced
0.27,enhanced
0.27,enhanced
0.273,enhanced
0.276,enhanced
0.279,enhanced
0.279,enhanced
0.282,enhanced
0.285,enhanced
0.285,enhanced
0.292,enhanced
0.294,enhanced
0.295,enhanced
0.297,enhanced
0.3,enhanced
0.3,enhanced
0.303,enhanced
0.303,enhanced
0.303,enhanced
0.303,enhanced
0.306,enhanced
0.306,enhanced
0.307,enhanced
0.312,enhanced
0.315,enhanced
0.318,enhanced
0.321,enhanced
0.321,enhanced
0.321,enhanced
0.322,enhanced
0.323,enhanced
0.328,enhanced
0.332,enhanced
0.336,enhanced
0.339,enhanced
0.342,enhanced
0.347,enhanced
0.348,enhanced
0.354,enhanced
0.36,enhanced
0.36,enhanced
0.364,enhanced
0.373,enhanced
0.374,enhanced
0.375,enhanced
0.394,enhanced
0.399,enhanced
0.405,enhanced
0.407,enhanced
0.408,enhanced
0.409,enhanced
0.409,enhanced
0.41,enhanced
0.414,enhanced
0.423,enhanced
0.429,enhanced
0.432,enhanced
0.433,enhanced
0.435,enhanced
0.438,enhanced
0.441,enhanced
0.448,enhanced
0.45,enhanced
0.453,enhanced
0.457,enhanced
0.468,enhanced
0.473,enhanced
0.474,enhanced
0.477,enhanced
0.489,enhanced
0.491,enhanced
0.501,enhanced
0.503,enhanced
0.504,enhanced
0.51,enhanced
0.513,enhanced
0.519,enhanced
0.524,enhanced
0.525,enhanced
0.531,enhanced
0.534,enhanced
0.534,enhanced
0.543,enhanced
0.559,enhanced
0.569,enhanced
0.57,enhanced
0.573,enhanced
0.578,enhanced
0.586,enhanced
0.593,enhanced
0.597,enhanced
0.6,enhanced
0.61,enhanced
0.611,enhanced
0.612,enhanced
0.621,enhanced
0.625,enhanced
0.625,enhanced
0.652,enhanced
0.658,enhanced
0.664,enhanced
0.664,enhanced
0.67,enhanced
0.681,enhanced
0.682,enhanced
0.686,enhanced
0.694,enhanced
0.697,enhanced
0.706,enhanced
0.712,enhanced
0.723,enhanced
0.723,enhanced
0.726,enhanced
0.741,enhanced
0.744,enhanced
0.756,enhanced
0.756,enhanced
0.757,enhanced
0.761,enhanced
0.768,enhanced
0.806,enhanced
0.819,enhanced
0.823,enhanced
0.832,enhanced
0.84,enhanced
0.843,enhanced
0.843,enhanced
0.846,enhanced
0.846,enhanced
0.867,enhanced
0.869,enhanced
0.898,enhanced
0.921,enhanced
0.935,enhanced
0.943,enhanced
0.961,enhanced
0.962,enhanced
0.974,enhanced
0.977,enhanced
0.988,enhanced
0.989,enhanced
0.998,enhanced
1.004,enhanced
1.008,enhanced
1.013,enhanced
